id,domain,taskId,topic,question,answerA,answerB,answerC,answerD,correctAnswer,answerIndex,rationale,difficulty,source,chapter,sourceItemId,status,coachBob,release,questionType,cognitiveLevel,studyRedirect,sourceUrl,integrationRelease,integrationDecision,appAction,contentHash,userApprovedForStaging,approvalRelease,priorStatus,reviewNotes
RPSGT-V877-D1-Q001,1,1B,Narcolepsy Type 1,Which finding pattern best supports narcolepsy type 1 when other causes of sleepiness have been addressed?,Insomnia symptoms at least 3 nights per week for 3 months with normal MSLT results,EDS for at least 3 months plus cataplexy with MSL <=8 minutes and two or more SOREMPs,Snoring with an AHI greater than 5 and no REM-onset sleep periods,Nightmares with complete recall during the second half of the night,B,1,"Narcolepsy type 1 is supported by chronic excessive daytime sleepiness with cataplexy and supportive MSLT/PSG evidence, including short mean sleep latency and at least two SOREMPs.",Core,Fundamentals,Ch 16,RPSGT-V876-CORE-031,Live,"For narcolepsy, do not stop at “sleepy.” Look for the REM-intrusion clues and the testing pattern.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,7a255017840d3e84,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q002,1,1B,Narcolepsy SOREMP,"During a narcolepsy workup, the overnight PSG shows a SOREMP. How can that PSG finding affect the next day MSLT interpretation?",It invalidates the MSLT automatically,It proves obstructive sleep apnea is the cause of sleepiness,It may count as one of the two required SOREMPs when diagnostic criteria are otherwise met,It replaces the need to measure mean sleep latency,C,2,A SOREMP on the preceding nocturnal PSG may count as one of the two required SOREMPs for narcolepsy diagnosis when the rest of the criteria are met.,Core,Fundamentals,Ch 16,RPSGT-V876-CORE-032,Live,Remember: the overnight PSG is not just a gatekeeper; sometimes it contributes a SOREMP.,v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,e235378792ff03b8,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q003,1,1B,Hypocretin Level,Which CSF hypocretin-1 result supports narcolepsy type 1?,>=200 pg/mL with prolonged REM latency,A normal value with no cataplexy,Any value above the laboratory reference range,<=110 pg/mL or less than one-third of mean normal values,D,3,"Low CSF hypocretin-1, commonly <=110 pg/mL or less than one-third of normal values, supports narcolepsy type 1.",Core,Fundamentals,Ch 16,RPSGT-V876-CORE-034,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,7688836d2053e298,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q004,1,1B,RLS URGE,The URGE mnemonic for restless legs syndrome includes which feature?,Symptoms are worse at rest and improve with movement,Symptoms occur only during REM sleep,Symptoms require a respiratory arousal to be scored,Symptoms are relieved by staying still,A,0,"URGE stands for Urge to move, Rest worsens symptoms, Gets better with movement, and Evening/night worsening.",Core,Fundamentals,Ch 19,RPSGT-V876-CORE-035,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,684670a9091f8a02,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q006,1,1A,ADHD and Sleepiness,A sleepy child may present differently than a sleepy adult. Which behavior can be a pediatric manifestation of sleepiness?,Only quiet withdrawal with no behavior change,Mandatory cataplexy during laughter,Hyperactivity and poor impulse control,Immediate REM sleep on every nap,C,2,"Children with sleepiness may show hyperactivity, mood disturbance, poor impulse control, or ADHD-like symptoms rather than simply appearing drowsy.",Core,Fundamentals,Ch 63,RPSGT-V876-CORE-066,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,88467449277d4682,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q007,1,1D,RACE Fire Code,A fire starts in a sleep room. What does the RACE acronym stand for?,"Run, Alert, Call, Exit","Remove, Assess, Clean, Evaluate","Respiration, Airway, Circulation, Exposure","Rescue, Alarm, Contain, Extinguish/Evacuate",D,3,"RACE is a fire-response acronym: Rescue, Alarm, Contain, Extinguish/Evacuate.",Core,Fundamentals,Ch 28,RPSGT-V876-CORE-045,Live,Safety questions are easy points if you keep the acronyms clean and in order.,v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,7bec04df26b2c6e5,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q008,1,1D,PASS Acronym,Which sequence correctly describes PASS for using a fire extinguisher?,"Pull, Aim, Squeeze, Sweep","Protect, Alert, Stabilize, Secure","Pressure, Airflow, Sensor, Signal","Prepare, Apply, Score, Summarize",A,0,"PASS means Pull the pin, Aim the nozzle, Squeeze the handle, and Sweep at the base of the fire.",Core,Fundamentals,Ch 28,RPSGT-V876-CORE-057,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,b91da38327f4a2bf,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q009,1,1B,PHOX2B Gene,Congenital central hypoventilation syndrome is most closely associated with pathogenic variants in which gene?,HLA-DQB1,PHOX2B,BRCA1,CFTR,B,1,Congenital central hypoventilation syndrome is genetically linked to pathogenic variants in PHOX2B.,Core,Fundamentals,Ch 65,RPSGT-V876-CORE-065,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,a28f801a5508132f,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q010,1,1A,CBT-I Recommendation,Which treatment has a strong recommendation as first-line behavioral treatment for chronic insomnia disorder in adults?,Sleep hygiene as the only intervention,Immediate long-term sedative use for all patients,Multicomponent cognitive behavioral therapy for insomnia,Routine overnight PSG for every insomnia patient,C,2,"AASM strongly recommends multicomponent CBT-I for chronic insomnia disorder in adults, including those with comorbidities.",Core,Insomnia Guideline,Summary,RPSGT-V876-CORE-070,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,117055f34829188f,True,,Quality_Pass_Balanced_Ready,
RPSGT-V877-D1-Q011,1,1A,Sleep Hygiene Alone,Which statement best reflects guideline-based use of sleep hygiene for chronic insomnia disorder?,Sleep hygiene alone is the strongest recommended therapy,Sleep hygiene should replace CBT-I in almost all cases,Sleep hygiene is used only when PLMD is suspected,Sleep hygiene alone is conditionally recommended against as single-component therapy,D,3,"Sleep hygiene may be educationally useful, but AASM conditionally recommends against using it as the sole component for chronic insomnia treatment.",Core,Insomnia Guideline,Summary,RPSGT-V876-CORE-071,Live,"Know the rule, then ask what the tech must do with it on study night.",v8.7.7-domain-1-question-upgrade,,,,,v8.7.14-rpsgtv2-integration-test-prep,PROVISIONALLY_CLEAR_PENDING_RAW_V15,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,31061d8d53c3fd2a,True,,Quality_Pass_Balanced_Ready,
